"level","basis","diversity","q","pair","est_1","lcl_1","ucl_1","est_2","lcl_2","ucl_2","ratio","ci_overlap","z","p_z","p_holm"
"root_sample","coverage_standardised","PD",2,"Forest vs Subpáramo",54.4849349992372,53.4047110235554,55.5651589749189,41.412844682334,40.1668868759632,42.6588024887048,1.31565303994872,FALSE,15.5369222796273,1.95132165077824e-54,1.95132165077824e-54
"plant","coverage_standardised","PD",2,"Subpáramo vs Páramo",58.7556819918442,57.1490962632359,60.3622677204525,39.5557966064328,38.2005635812171,40.9110296316485,1.48538740292463,FALSE,17.9037896675632,1.10163991407973e-71,2.20327982815946e-71
"root_sample","coverage_standardised","PD",2,"Subpáramo vs Páramo",41.412844682334,40.1668868759632,42.6588024887048,28.1830639465219,27.1728533317508,29.1932745612931,1.4694230819231,FALSE,16.1653911231882,8.84746213614105e-59,1.76949242722821e-58
"plant","coverage_standardised","TD",0,"Forest vs Páramo",2710.13505970077,2574.70447835797,2845.56564104356,1229.43327758552,1125.92754067304,1332.93901449799,2.20437750393677,FALSE,17.0257459014917,5.29138901303622e-65,1.58741670391087e-64
"root_sample","coverage_standardised","TD",0,"Forest vs Páramo",3036.24609109131,2918.55379596783,3153.93838621479,1353.68926756061,1245.65412055792,1461.7244145633,2.2429416882079,FALSE,20.641981344512,1.15240405469077e-94,3.4572121640723e-94
"plant","coverage_standardised","TD",0,"Forest vs Subpáramo",2710.13505970077,2574.70447835797,2845.56564104356,2532.62448839042,2331.61451699748,2733.63445978336,1.07008957392778,TRUE,1.43542827066944,0.151165094766776,0.151165094766776
"root_sample","coverage_standardised","TD",0,"Forest vs Subpáramo",3036.24609109131,2918.55379596783,3153.93838621479,2234.7629665064,2094.13587912544,2375.39005388736,1.35864346089369,FALSE,8.5663433947824,1.06823009586844e-17,1.06823009586844e-17
"plant","coverage_standardised","TD",0,"Subpáramo vs Páramo",2532.62448839042,2331.61451699748,2733.63445978336,1229.43327758552,1125.92754067304,1332.93901449799,2.05999344133928,FALSE,11.2971113955576,1.35605361765265e-29,2.71210723530529e-29
"root_sample","coverage_standardised","TD",0,"Subpáramo vs Páramo",2234.7629665064,2094.13587912544,2375.39005388736,1353.68926756061,1245.65412055792,1461.7244145633,1.6508684969731,FALSE,9.73793288997469,2.07736945932335e-22,4.1547389186467e-22
"plant","coverage_standardised","TD",1,"Forest vs Páramo",2105.80935125726,2008.58529111219,2203.03341140234,999.084162062142,923.1426033948,1075.02572072948,2.10773969923696,FALSE,17.5827062838018,3.34235350606777e-69,1.00270605182033e-68
"root_sample","coverage_standardised","TD",1,"Forest vs Páramo",2068.08645064645,1997.42791560425,2138.74498568864,956.258204289828,889.663240046789,1022.85316853287,2.16268622989993,FALSE,22.4433205754204,1.48715687380707e-111,4.46147062142122e-111
"plant","coverage_standardised","TD",1,"Forest vs Subpáramo",2105.80935125726,2008.58529111219,2203.03341140234,2104.89897349146,1947.81135849853,2261.9865884844,1.00043250425663,TRUE,0.00965845628498181,0.992293786662561,0.992293786662561
"root_sample","coverage_standardised","TD",1,"Forest vs Subpáramo",2068.08645064645,1997.42791560425,2138.74498568864,1687.6718908886,1595.59157226403,1779.75220951317,1.22540788989354,FALSE,6.42389798733753,1.32828235798986e-10,1.32828235798986e-10
"plant","coverage_standardised","TD",1,"Subpáramo vs Páramo",2104.89897349146,1947.81135849853,2261.9865884844,999.084162062142,923.1426033948,1075.02572072948,2.10682848694837,FALSE,12.4217336027046,1.99197637014665e-35,3.98395274029331e-35
"root_sample","coverage_standardised","TD",1,"Subpáramo vs Páramo",1687.6718908886,1595.59157226403,1779.75220951317,956.258204289828,889.663240046789,1022.85316853287,1.76487049556031,FALSE,12.6149710676011,1.74621764240304e-36,3.49243528480609e-36
"plant","coverage_standardised","TD",2,"Forest vs Páramo",1475.37619018813,1408.5132279462,1542.23915243006,708.817663236852,657.883257142021,759.752069331682,2.08146081384421,FALSE,17.8746796058869,1.8573929217228e-71,5.57217876516839e-71
"root_sample","coverage_standardised","TD",2,"Forest vs Páramo",1232.98821064644,1181.83446506775,1284.14195622512,552.483984778709,508.597878308224,596.370091249194,2.2317175603566,FALSE,19.7889193665104,3.70909243806052e-87,1.11272773141816e-86
"plant","coverage_standardised","TD",2,"Forest vs Subpáramo",1475.37619018813,1408.5132279462,1542.23915243006,1421.08373894904,1316.85189923363,1525.31557866445,1.03820496269927,TRUE,0.859303561698223,0.390173059670104,0.390173059670104
"root_sample","coverage_standardised","TD",2,"Forest vs Subpáramo",1232.98821064644,1181.83446506775,1284.14195622512,1002.3119769767,935.501170891373,1069.12278306203,1.23014414570354,FALSE,5.37306838919516,7.74079527162751e-08,7.74079527162751e-08
"plant","coverage_standardised","TD",2,"Subpáramo vs Páramo",1421.08373894904,1316.85189923363,1525.31557866445,708.817663236852,657.883257142021,759.752069331682,2.00486502051824,FALSE,12.0334613466459,2.37011621067811e-33,4.74023242135622e-33
"root_sample","coverage_standardised","TD",2,"Subpáramo vs Páramo",1002.3119769767,935.501170891373,1069.12278306203,552.483984778709,508.597878308224,596.370091249194,1.81419191250976,FALSE,11.029484452961,2.75439449134378e-28,5.50878898268756e-28
