"genus","order","n_OTUs","total_reads","plants_present","plants_present_forest","plants_present_subparamo","plants_present_paramo","absent_from","NV_paramo_vs_forest","DOM_paramo_vs_forest","converged","note","omnibus_chisq","omnibus_df","omnibus_p","subparamo_vs_forest_ratio","subparamo_vs_forest_lcl","subparamo_vs_forest_ucl","subparamo_vs_forest_p","subparamo_vs_forest_status","paramo_vs_forest_ratio","paramo_vs_forest_lcl","paramo_vs_forest_ucl","paramo_vs_forest_p","paramo_vs_forest_status","paramo_vs_subparamo_ratio","paramo_vs_subparamo_lcl","paramo_vs_subparamo_ucl","paramo_vs_subparamo_p","paramo_vs_subparamo_status","omnibus_q","subparamo_vs_forest_q","paramo_vs_forest_q","paramo_vs_subparamo_q","published_fig4C"
"Hyaloscypha","Helotiales",10,152550,23,8,9,6,"","higher in paramo","forest only",TRUE,"",0.991166528151041,2,0.609215470151536,1.77560129416582,0.092396345243213,34.1221283974425,0.703421779840522,"estimated",5.56847381528266,0.163629344481614,189.500854689134,0.340015141882828,"estimated",3.13610596792155,0.0489422213202464,200.954520998918,0.590233355533467,"estimated",0.712911720390096,0.86115123449982,0.534309508673016,0.742007646956359,TRUE
"Tolypocladium","Hypocreales",17,25065,24,9,6,9,"","higher in paramo","higher in paramo",TRUE,"",1.85426060679498,2,0.395687585975109,0.61175271471294,0.0302090908312341,12.3883696483746,0.748827160434626,"estimated",4.5553528893041,0.257473519665202,80.5956277487274,0.300961922462893,"estimated",7.4463958716418,0.333011902165431,166.506996046221,0.205371644929693,"estimated",0.546661132400232,0.86115123449982,0.534309508673016,0.502019576494806,FALSE
"Entoloma","Agaricales",20,6486,19,8,6,5,"","higher in forest","higher in forest",TRUE,"",1.09144597865469,2,0.579422715428011,1.93142574142707,0.0623258247380928,59.8532857017633,0.707108514507922,"estimated",0.254179102402917,0.0158181237223312,4.08436659318473,0.333661309366038,"estimated",0.131601799101586,0.00246285917862554,7.03208436644742,0.31776085877674,"estimated",0.6927880293161,0.86115123449982,0.534309508673016,0.70356241125606,FALSE
"Piskurozyma","Filobasidiales",12,1248,13,8,3,2,"","forest only","absent",TRUE,"",2.59312400412932,2,0.273470369262862,2.42976631681794,0.0826839424624134,71.4015826836844,0.606744024409413,"estimated",0.057817498802359,0.000189499676583137,17.6404689867331,0.328766320216205,"estimated",0.0237954976995803,0.000132093250645771,4.28656050178642,0.158330889715936,"estimated",0.532050447510957,0.854784604359336,0.534309508673016,0.497611367678657,FALSE
"Leohumicola","Helotiales",13,599487,15,7,6,2,"","higher in paramo","forest only",TRUE,"",0.785475191980822,2,0.675205901077964,11.1009853600821,0.0340996382838141,3613.87633907106,0.414823497907984,"estimated",8.98444082899194,0.0490808656070457,1644.63637735985,0.408824650375443,"estimated",0.809337237872503,0.000566378497262743,1156.51771345978,0.95448800061912,"estimated",0.742726491185761,0.761939614421966,0.549084898265713,0.976685395982355,TRUE
"Mortierella","Mortierellales",48,48874,39,16,11,12,"","higher in forest","higher in paramo",TRUE,"",0.791453275809431,2,0.67319069560605,1.37605022118848,0.0779425475084535,24.2937172540774,0.827489855775319,"estimated",4.05201645024157,0.143372284945875,114.518906629874,0.411813673699285,"estimated",2.94467192246943,0.152421220211219,56.88901269104,0.474699596575321,"estimated",0.742726491185761,0.92840325282109,0.549084898265713,0.742007646956359,FALSE
"Cephalotheca","Cephalothecales",14,40862,17,11,1,5,"","higher in paramo","forest only",TRUE,"",8.41107783167865,2,0.0149127471874549,2.66250270651358e-05,7.72433955384761e-08,0.00917738094341161,0.000409935680669992,"estimated",0.0897526155095272,0.000427545600055159,18.8413399407262,0.376862505347444,"estimated",3370.9868271666,4.93430181535114,2302970.6358005,0.0147156817749029,"estimated",0.116205102797201,0.00942852065540982,0.549084898265713,0.213625466944145,FALSE
"Ilyonectria","Hypocreales",12,40711,25,19,3,3,"","higher in forest","forest only",TRUE,"",2.60959521102319,2,0.271227424426567,0.054728509907351,0.00161648479784096,1.8529155366506,0.105931246641229,"estimated",0.180332671842747,0.00396362722189875,8.20457392013911,0.37917190593459,"estimated",3.29504077761352,0.0485389197257772,223.682228353549,0.579508778774607,"estimated",0.532050447510957,0.442985213226957,0.549084898265713,0.742007646956359,FALSE
"Dissophora","Mortierellales",8,17280,15,12,1,2,"","higher in forest","forest only",TRUE,"",2.02640645310004,2,0.363054170236209,0.0093397637757363,2.37783827417478e-08,3668.50800300239,0.477014965918106,"estimated",0.210892162327643,0.00523663522092375,8.49314536050184,0.409129155310612,"estimated",22.5800317215215,3.82099852649905e-05,13343575.7435916,0.645722751936414,"estimated",0.532050447510957,0.761939614421966,0.549084898265713,0.767886515816276,FALSE
"Sclerococcum","Sclerococcales",7,293718,23,8,11,4,"","higher in paramo","forest only",TRUE,"",3.51672966822139,2,0.172326415845202,106.087442823867,0.0916298591584652,122826.179460165,0.195001586512296,"estimated",0.0488914531280575,4.51188616849838e-06,529.794879503487,0.524311969897999,"estimated",0.00046085994559441,3.15944353574448e-08,6.72244612224842,0.116310667282862,"estimated",0.430816039613005,0.598004865304375,0.647633521857477,0.448473160498665,TRUE
