"","samplename","Individual","site","elevation","elevation_adj","altitudinal_level","habitat","Fieldcontrol","plate","sampletype","extract_blank"
"S_4_1_P2","BEL_3_IV_B","4","BEL",2700,2700,3,"forest","S_S2_3","P2","S","E_4_12"
"S_4_10_P2","DOM_3_III_B","3","DOM",3224,3300,3,"forest","S_S1_7","P2","S","E_4_12"
"S_4_11_P1","DOM_3_IV_B","4","DOM",3224,3300,3,"forest","S_S1_7","P1","S","E_4_12"
"S_4_2_P1","BEL_3_V_B","5","BEL",2700,2700,3,"forest","S_S2_3","P1","S","E_4_12"
"S_4_3_P3","DOM_3_I_A","1","DOM",3224,3300,3,"forest","S_S1_7","P3","S","E_4_12"
"S_4_4_P1","DOM_3_II_A","2","DOM",3224,3300,3,"forest","S_S1_7","P1","S","E_4_12"
"S_4_5_P1","DOM_3_III_A","3","DOM",3224,3300,3,"forest","S_S1_7","P1","S","E_4_12"
"S_4_6_P3","DOM_3_IV_A","4","DOM",3224,3300,3,"forest","S_S1_7","P3","S","E_4_12"
"S_4_7_P4","DOM_3_V_A","5","DOM",3224,3300,3,"forest","S_S1_7","P4","S","E_4_12"
"S_4_8_P3","DOM_3_I_B","1","DOM",3224,3300,3,"forest","S_S1_7","P3","S","E_4_12"
"S_4_9_P1","DOM_3_II_B","2","DOM",3224,3300,3,"forest","S_S1_7","P1","S","E_4_12"
"S_5_1_P2","DOM_3_V_B","5","DOM",3224,3300,3,"forest","S_S1_7","P2","S","E_5_12"
"S_5_10_P2","DOM_2_IV_B","4","DOM",3534,3500,2,"subparamo","S_S1_6","P2","S","E_5_12"
"S_5_11_P2","DOM_2_V_B","5","DOM",3534,3500,2,"subparamo","S_S1_6","P2","S","E_5_12"
"S_5_2_P3","DOM_2_I_A","1","DOM",3534,3500,2,"subparamo","S_S1_6","P3","S","E_5_12"
"S_5_3_P1","DOM_2_II_A","2","DOM",3534,3500,2,"subparamo","S_S1_6","P1","S","E_5_12"
"S_5_4_P3","DOM_2_III_A","3","DOM",3534,3500,2,"subparamo","S_S1_6","P3","S","E_5_12"
"S_5_5_P3","DOM_2_IV_A","4","DOM",3534,3500,2,"subparamo","S_S1_6","P3","S","E_5_12"
"S_5_6_P2","DOM_2_V_A","5","DOM",3534,3500,2,"subparamo","S_S1_6","P2","S","E_5_12"
"S_5_7_P2","DOM_2_I_B","1","DOM",3534,3500,2,"subparamo","S_S1_6","P2","S","E_5_12"
"S_5_8_P2","DOM_2_II_B","2","DOM",3534,3500,2,"subparamo","S_S1_6","P2","S","E_5_12"
"S_5_9_P3","DOM_2_III_B","3","DOM",3534,3500,2,"subparamo","S_S1_6","P3","S","E_5_12"
"S_6_1_P2","DOM_1_I_A","1","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
"S_6_10_P2","DOM_1_V_B","5","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
"S_6_11_P3","NV_1_I_A","1","NV",3830,3800,1,"paramo","S_S1_1","P3","S","E_6_12"
"S_6_2_P1","DOM_1_II_A","2","DOM",3815,3800,1,"paramo","S_S1_5","P1","S","E_6_12"
"S_6_3_P3","DOM_1_III_A","3","DOM",3815,3800,1,"paramo","S_S1_5","P3","S","E_6_12"
"S_6_4_P2","DOM_1_IV_A","4","DOM",3815,3800,1,"paramo","S_S1_5","P2","S","E_6_12"
